Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
3,6,0,0,1,0,-1
3,5,0,0,0,0,-1
0,5,1,0,1,0,-1
2,5,0,0,1,1,-1
1,6,0,0,0,1,-1
1,7,0,0,0,0,-1
0,7,1,0,0,1,-1
2,7,0,0,0,2,-1
1,8,0,0,0,1,-1
1,9,0,0,1,1,-1
3,9,0,0,1,0,-26
3,9,0,0,1,1,-26
3,8,0,0,0,1,-1
3,7,0,0,0,2,-1
3,7,0,0,0,1,-26
3,7,0,0,1,1,-26
3,6,0,0,0,1,-1
3,5,0,0,1,1,-1
1,6,0,0,1,0,-1
0,6,1,0,1,1,-1
1,7,1,0,0,1,-1
1,8,1,0,1,1,-1
3,7,1,0,0,1,-1
2,7,0,0,1,1,-1
0,7,1,0,0,1,-1
3,6,1,0,0,0,-1
2,6,0,0,1,0,-1
1,7,0,0,0,0,-1
0,7,1,0,1,0,-1
3,6,1,0,2,0,-1
2,6,0,0,1,0,-1
3,5,0,0,0,0,-1
0,5,1,0,0,1,-1
3,5,1,0,0,0,-26
1,6,1,0,0,1,-1
0,6,2,0,0,0,-1
0,6,3,0,0,1,-1
0,6,4,0,0,2,-1
1,7,4,0,0,1,-1
3,6,4,0,1,1,-1
0,6,5,0,1,0,-1
2,6,4,0,1,1,-1
1,7,4,0,0,1,-1
1,8,4,0,0,2,-1
0,8,5,0,0,1,-1
2,8,4,0,0,2,-1
3,7,4,0,0,1,-1
3,7,4,0,0,0,-26
3,7,4,0,0,1,-26
3,6,4,0,1,1,-1
1,7,4,0,0,1,-1
1,8,4,0,0,0,-1
3,8,4,0,1,0,-26
3,8,4,0,1,1,-26
0,8,5,0,0,1,-1
0,8,6,0,1,1,-1
2,8,5,0,0,1,-1
2,8,4,0,0,2,-1
0,8,5,0,0,1,-1
0,8,6,0,0,0,-1
0,8,7,0,0,1,-1
1,9,7,0,1,1,-1
0,9,8,0,1,0,-1
3,8,8,0,2,0,-1
0,8,9,0,3,0,-1
2,8,8,0,2,0,-1
3,7,8,0,1,0,-1
2,7,7,0,2,0,-1
0,7,8,0,3,0,-1
0,7,9,0,2,0,-1
3,6,9,0,1,0,-1
0,6,10,0,2,0,-1
3,5,10,0,3,0,-1
3,4,10,0,2,0,-1
1,5,10,0,3,0,-1
0,5,11,0,2,0,-1
3,5,11,0,1,0,-26
1,6,11,0,2,0,-1
0,6,12,0,3,0,-1
1,7,12,0,2,0,-1
3,6,12,0,3,0,-1
0,6,13,0,2,0,-1
3,5,13,0,3,0,-1
1,6,13,0,2,0,-1
0,6,14,0,1,0,-1
1,7,14,0,1,1,999
1,7,14,0,1,1,999
