Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,13,11,0
1,8,0,0,13,12,-1
1,9,0,0,13,13,-1
0,9,1,0,13,14,-1
1,10,1,0,13,13,-1
0,10,2,0,12,13,-1
0,10,3,0,13,13,-1
0,10,4,0,14,13,-1
0,10,5,0,14,12,-1
3,9,5,0,14,11,-1
0,9,6,0,13,11,-1
0,9,7,0,13,10,-1
3,8,7,0,14,10,-1
0,8,8,0,14,9,-1
2,8,7,1,13,8,-1
1,9,7,1,13,9,-1
1,10,7,1,13,8,-1
1,11,7,1,12,7,-1
0,11,8,1,11,7,-1
0,11,9,1,11,8,-1
3,10,9,1,13,8,-1
3,9,9,1,12,8,-1
3,8,9,1,11,7,-1
3,7,9,1,10,6,-1
3,6,9,1,9,6,-1
0,6,10,1,10,7,-1
3,5,10,1,9,6,-1
3,4,10,1,8,6,-1
0,4,11,1,8,7,-1
0,4,12,1,7,8,-1
0,4,13,1,8,7,-1
0,4,14,0,8,8,-1
1,5,14,0,8,9,-1
1,6,14,0,7,9,-1
1,7,14,0,7,8,999
1,7,14,0,7,8,999
