Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,0,0,1,-1
1,9,0,1,1,1,-1
3,8,0,1,2,1,-1
3,7,0,0,2,0,-1
3,6,0,0,1,0,-1
1,7,0,0,2,0,-1
1,8,0,0,1,0,-1
1,9,0,1,1,1,-1
3,8,0,0,1,0,-1
1,9,0,0,0,0,-1
1,10,0,1,0,1,-1
3,9,0,0,0,0,-1
1,10,0,1,0,1,-1
3,9,0,1,1,1,-1
3,8,0,0,1,0,-1
1,9,0,0,2,0,-1
1,10,0,0,3,0,-1
1,11,0,0,2,0,-1
1,12,0,0,1,0,-1
1,13,0,0,0,0,-1
1,14,0,1,0,1,-1
0,14,1,1,2,1,-1
0,14,2,1,4,1,-1
0,14,3,1,5,1,-1
0,14,4,1,5,2,-1
0,14,5,1,5,1,-1
0,14,6,1,6,1,-1
0,14,7,1,8,1,-1
0,14,8,1,8,0,-1
0,14,9,1,8,1,-1
0,14,10,1,7,2,-1
0,14,11,1,7,4,-1
0,14,12,1,8,5,-1
0,14,13,1,7,6,-1
3,13,13,1,7,7,-1
3,12,13,1,7,8,-1
3,11,13,1,7,9,-1
0,11,14,1,8,10,-1
3,10,14,1,8,12,-1
3,9,14,1,8,13,-1
3,8,14,1,8,14,-101
3,8,14,1,8,14,-101
